data_name,lambda_fuse,lambda_fuse_effective,n_samples,n_features,objective_last,neg_loglik_last,primal_residual_last,dual_residual_last,c_td,n_params,result_path,bic,rho,max_admm_iter,clip_eta
extended_aft_step_seed_84,0.0,0.0,1000,3,1148.3513702123314,1148.3513702123314,0.0,0.0,0.8185353208036293,15,outputs/lambda_experiments/extended_aft_step_seed_84/lambda_0.0/result.json,2400.319069609395,1.0,1000,20
extended_aft_step_seed_68,0.0,0.0,1000,3,1152.278457044124,1152.278457044124,0.0,0.00038406084217523366,0.8129826758505532,15,outputs/lambda_experiments/extended_aft_step_seed_68/lambda_0.0/result.json,2408.17324327298,1.0,1000,20
extended_aft_step_seed_135,0.0,0.0,1000,3,1164.1589980083784,1164.1589980083784,0.0,0.0,0.8217903881438231,15,outputs/lambda_experiments/extended_aft_step_seed_135/lambda_0.0/result.json,2431.9343252014887,1.0,1000,20
extended_aft_step_seed_80,0.0,0.0,1000,3,1182.0612047652774,1182.0612047652774,0.0,0.0,0.8054771172768659,15,outputs/lambda_experiments/extended_aft_step_seed_80/lambda_0.0/result.json,2467.7387387152867,1.0,1000,20
extended_aft_step_seed_45,0.0,0.0,1000,3,1187.1554150559652,1187.1554150559652,0.0,0.0,0.8048828553550096,15,outputs/lambda_experiments/extended_aft_step_seed_45/lambda_0.0/result.json,2477.9271592966625,1.0,1000,20
extended_aft_step_seed_62,0.0,0.0,1000,3,1190.264614331224,1190.264614331224,0.0,0.0,0.8140023659786899,15,outputs/lambda_experiments/extended_aft_step_seed_62/lambda_0.0/result.json,2484.14555784718,1.0,1000,20
extended_aft_step_seed_69,0.0,0.0,1000,3,1193.3441796340219,1193.3441796340219,0.0,0.0,0.8194310673774746,15,outputs/lambda_experiments/extended_aft_step_seed_69/lambda_0.0/result.json,2490.3046884527757,1.0,1000,20
extended_aft_step_seed_110,0.0,0.0,1000,3,1209.6930205765993,1209.6930205765993,0.0,0.0,0.8299586933415797,15,outputs/lambda_experiments/extended_aft_step_seed_110/lambda_0.0/result.json,2523.0023703379306,1.0,1000,20
extended_aft_step_seed_58,0.0,0.0,1000,3,1214.5454429490533,1214.5454429490533,0.0,0.00036101635392295597,0.8020428134059884,15,outputs/lambda_experiments/extended_aft_step_seed_58/lambda_0.0/result.json,2532.7072150828385,1.0,1000,20
extended_aft_step_seed_91,0.0,0.0,1000,3,1428.3151738822216,1428.3151738822216,0.0,0.0,0.7944913152369556,15,outputs/lambda_experiments/extended_aft_step_seed_91/lambda_0.0/result.json,2960.2466769491753,1.0,1000,20
extended_aft_step_seed_57,0.0,0.0,1000,3,1429.076420851399,1429.076420851399,0.0,0.0,0.7914224729749981,15,outputs/lambda_experiments/extended_aft_step_seed_57/lambda_0.0/result.json,2961.76917088753,1.0,1000,20
extended_aft_step_seed_106,0.0,0.0,1000,3,1453.3611602335998,1453.3611602335998,0.0,0.0,0.8276880901614377,15,outputs/lambda_experiments/extended_aft_step_seed_106/lambda_0.0/result.json,3010.3386496519315,1.0,1000,20
extended_aft_step_seed_113,1.0,1000.0,1000,3,1674.5125479216329,1037.4160879892272,0.2103735971162928,0.0,0.8269424363526616,0,outputs/lambda_experiments/extended_aft_step_seed_113/lambda_1.0/result.json,2074.8321759784544,1.0,1000,20
extended_aft_step_seed_74,1.0,1000.0,1000,3,1682.1093342566696,971.2941147214786,0.2525333758281868,0.0,0.8329486721061015,0,outputs/lambda_experiments/extended_aft_step_seed_74/lambda_1.0/result.json,1942.5882294429573,1.0,1000,20
extended_aft_step_seed_83,1.0,1000.0,1000,3,1683.3953482086288,1029.263859103938,0.21818266771336176,0.0,0.8271505256367081,0,outputs/lambda_experiments/extended_aft_step_seed_83/lambda_1.0/result.json,2058.527718207876,1.0,1000,20
extended_aft_step_seed_46,1.0,1000.0,1000,3,1717.2589503058057,1046.1049790747477,0.22306165143064355,0.0,0.8291204793147551,0,outputs/lambda_experiments/extended_aft_step_seed_46/lambda_1.0/result.json,2092.2099581494954,1.0,1000,20
extended_aft_step_seed_124,1.0,1000.0,1000,3,1722.0214366099042,1076.820384606776,0.21013864102603388,0.0,0.821675747909827,0,outputs/lambda_experiments/extended_aft_step_seed_124/lambda_1.0/result.json,2153.640769213552,1.0,1000,20
extended_aft_step_seed_108,1.0,1000.0,1000,3,1732.8995535129293,1060.0012096791372,0.23140793818410837,0.0,0.8251131765635887,0,outputs/lambda_experiments/extended_aft_step_seed_108/lambda_1.0/result.json,2120.0024193582744,1.0,1000,20
extended_aft_step_seed_119,1.0,1000.0,1000,3,1741.4450519431014,1040.5947457197155,0.2319467650572205,0.0,0.8231546294973572,0,outputs/lambda_experiments/extended_aft_step_seed_119/lambda_1.0/result.json,2081.189491439431,1.0,1000,20
extended_aft_step_seed_135,1.0,1000.0,1000,3,1743.3704081882092,1046.5027649710996,0.22725778552166254,0.0,0.8274022037729729,0,outputs/lambda_experiments/extended_aft_step_seed_135/lambda_1.0/result.json,2093.0055299421992,1.0,1000,20
extended_aft_step_seed_141,1.0,1000.0,1000,3,1748.5571113503333,1073.11777936439,0.24876514897576532,0.0,0.8257046680455854,0,outputs/lambda_experiments/extended_aft_step_seed_141/lambda_1.0/result.json,2146.23555872878,1.0,1000,20
extended_aft_step_seed_89,1.0,1000.0,1000,3,1750.4013372401687,1038.9242829159025,0.22529879056596552,0.0,0.833905071172205,0,outputs/lambda_experiments/extended_aft_step_seed_89/lambda_1.0/result.json,2077.848565831805,1.0,1000,20
extended_aft_step_seed_49,1.0,1000.0,1000,3,1752.911732194791,1068.9083785048217,0.23532541042302155,0.0,0.8233640019744455,0,outputs/lambda_experiments/extended_aft_step_seed_49/lambda_1.0/result.json,2137.8167570096434,1.0,1000,20
